date,lsi,contrib_M1,share_M1,contrib_M2,share_M2,contrib_M3,share_M3,contrib_M4,share_M4,contrib_M5,share_M5,score_M1,score_M2,score_M3,score_M4,score_M5,status
2024-07-27,99.17453317621506,84.79154028828316,0.8549729206955182,5.046764182698049,0.05088770293207097,3.193018483890833,0.032195951739116546,0.35233779852608904,0.0035527043812754733,5.790871409150761,0.058390710030985865,85.49729206955182,5.088770293207097,3.219595173911655,0.35527043812754733,5.839071003098587,red
2024-07-26,99.17257110161148,85.07413294390967,0.8578393400403358,4.873061180590167,0.049137187091754075,3.816411404284975,0.03848252961370446,0.39675347574397946,0.004000637185633402,5.012205496390957,0.050540239510937834,85.78393400403358,4.9137187091754075,3.8482529613704455,0.4000637185633402,5.054023951093783,red
2024-08-14,99.17104566588907,79.7644674555523,0.8043120541884953,10.519386100796922,0.10607315905730312,4.671409117844579,0.04710456652421242,0.34379699180454304,0.0034667073387811987,3.8719829976023172,0.03904348261736769,80.43120541884953,10.607315905730312,4.710456652421242,0.34667073387811986,3.904348261736769,red
2024-07-25,99.16962798970611,85.94396750528429,0.8666359776423215,4.7392700420404745,0.04778953131227249,3.885995686975538,0.03918534097333619,0.4497918640930203,0.004535580834685687,4.150599132689758,0.04185353133643492,86.66359776423215,4.778953131227249,3.9185340973336187,0.4535580834685687,4.185353133643492,red
2024-07-24,99.16521332184807,85.6441913505944,0.8636515616885713,4.421621970099758,0.04458843804176627,4.457562315011731,0.04495086699954329,0.32486959745122257,0.0032760439530022905,4.31696575288154,0.04353306576239096,86.36515616885713,4.458843804176627,4.495086699954329,0.32760439530022906,4.3533065762390954,red
2024-07-23,99.15859132006099,85.48695408246972,0.8621235229788371,4.3409376836090665,0.04377772642611999,4.530808007140035,0.045692541078116315,0.32103884025202,0.0032376301032331217,4.478856869348325,0.04516862139450541,86.21235229788371,4.377772642611999,4.5692541078116315,0.3237630103233122,4.516862139450541,red
2024-07-22,99.14865831738038,85.31820844677668,0.8605079473054325,4.332161339839033,0.04369359518685107,4.618443960377959,0.04658100309934666,0.31371470429798753,0.003164084210739083,4.566133062110491,0.046053402432275424,86.05079473054325,4.3693595186851075,4.658100309934666,0.3164084210739083,4.605340243227542,red
2024-08-15,99.14308871260093,77.9766119014732,0.7865057757834663,11.140967959967643,0.11237261320618554,4.970065126381353,0.050130222801397006,0.436924883666594,0.004407013028746415,4.618519008216431,0.04658437686569094,78.65057757834663,11.237261320618554,5.013022280139701,0.44070130287464154,4.658437686569094,red
2024-07-21,99.13375881335946,85.0680280071061,0.8581136136204104,4.3533422506484865,0.043913822120319135,4.6865828046339955,0.0472753465694516,0.30912154160399685,0.0031182267807073104,4.7166871906945005,0.04757902098289922,85.81136136204104,4.391382212031914,4.72753465694516,0.31182267807073105,4.757902098289922,red
2024-07-20,99.11140955732809,84.771841350697,0.8553186936733376,4.3956392215037905,0.044350486398453064,4.786489836186198,0.04829403453713968,0.30039265242189656,0.003030858442671459,4.857052365563556,0.04900598616503518,85.53186936733375,4.435048639845307,4.829403453713968,0.3030858442671459,4.900598616503518,red
