date_raw,n_documents,documents,page,date
2 апреля 2026 00:00,8,https://roskazna.gov.ru/storage/operation-day-files/20260402_175358885.docx;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358637.XML;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358800.docx;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358875.XML;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358412.docx;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358341.XML;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358881.docx;https://roskazna.gov.ru/storage/operation-day-files/20260402_175358460.XML,4,2026-04-02
3 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260403_115054704.docx;https://roskazna.gov.ru/storage/operation-day-files/20260403_115054888.xml,4,2026-04-03
6 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260406_154955898.docx;https://roskazna.gov.ru/storage/operation-day-files/20260406_154955767.XML,4,2026-04-06
7 апреля 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260407_174919638.docx;https://roskazna.gov.ru/storage/operation-day-files/20260407_174919446.XML;https://roskazna.gov.ru/storage/operation-day-files/20260407_174919176.docx;https://roskazna.gov.ru/storage/operation-day-files/20260407_174919701.xml;https://roskazna.gov.ru/storage/operation-day-files/20260407_174919152.docx;https://roskazna.gov.ru/storage/operation-day-files/20260407_174919700.XML,4,2026-04-07
8 апреля 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260408_164937615.docx;https://roskazna.gov.ru/storage/operation-day-files/20260420_161615609.xml;https://roskazna.gov.ru/storage/operation-day-files/20260408_174015594.docx;https://roskazna.gov.ru/storage/operation-day-files/20260408_174015145.XML;https://roskazna.gov.ru/storage/operation-day-files/20260408_174015175.docx;https://roskazna.gov.ru/storage/operation-day-files/20260408_174015144.XML,4,2026-04-08
9 апреля 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260409_174758993.docx;https://roskazna.gov.ru/storage/operation-day-files/20260409_174758910.XML;https://roskazna.gov.ru/storage/operation-day-files/20260409_174758420.docx;https://roskazna.gov.ru/storage/operation-day-files/20260409_174758463.XML;https://roskazna.gov.ru/storage/operation-day-files/20260409_174758286.docx;https://roskazna.gov.ru/storage/operation-day-files/20260409_174758555.XML,4,2026-04-09
10 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260410_115736134.docx;https://roskazna.gov.ru/storage/operation-day-files/20260410_115736776.XML,4,2026-04-10
13 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260413_111301945.docx;https://roskazna.gov.ru/storage/operation-day-files/20260413_111301869.xml,4,2026-04-13
14 апреля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260414_174002796.docx;https://roskazna.gov.ru/storage/operation-day-files/20260414_174002733.XML;https://roskazna.gov.ru/storage/operation-day-files/20260414_174002330.docx;https://roskazna.gov.ru/storage/operation-day-files/20260414_174002970.XML,4,2026-04-14
15 апреля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260415_174147163.docx;https://roskazna.gov.ru/storage/operation-day-files/20260415_174147943.XML;https://roskazna.gov.ru/storage/operation-day-files/20260415_174147318.docx;https://roskazna.gov.ru/storage/operation-day-files/20260415_174147707.XML,4,2026-04-15
16 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260416_105319361.docx;https://roskazna.gov.ru/storage/operation-day-files/20260416_105319217.xml,3,2026-04-16
17 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260417_104327951.docx;https://roskazna.gov.ru/storage/operation-day-files/20260417_104327748.xml,3,2026-04-17
20 апреля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260420_174347436.docx;https://roskazna.gov.ru/storage/operation-day-files/20260420_174347589.XML;https://roskazna.gov.ru/storage/operation-day-files/20260420_174347569.docx;https://roskazna.gov.ru/storage/operation-day-files/20260420_174347160.XML,3,2026-04-20
21 апреля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260421_175644833.docx;https://roskazna.gov.ru/storage/operation-day-files/20260421_175644139.XML;https://roskazna.gov.ru/storage/operation-day-files/20260421_175644929.docx;https://roskazna.gov.ru/storage/operation-day-files/20260421_175644431.XML,3,2026-04-21
22 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260422_104917250.docx;https://roskazna.gov.ru/storage/operation-day-files/20260422_104917770.xml,3,2026-04-22
23 апреля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260423_174932989.docx;https://roskazna.gov.ru/storage/operation-day-files/20260423_174932113.XML;https://roskazna.gov.ru/storage/operation-day-files/20260423_174932443.docx;https://roskazna.gov.ru/storage/operation-day-files/20260423_174932775.XML,3,2026-04-23
24 апреля 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260424_105532700.docx;https://roskazna.gov.ru/storage/operation-day-files/20260424_105532535.xml,3,2026-04-24
